Acceleration_(m/s),Error_Status,Ready_Indicator,Status_Indicator,Slider_Position,Lock,
-12.5,16,4,2,0,0,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
-12.5,240,4,3,2550,192,
